shift_no_1,site_code_1,next_site_code_1,shift_no_2,site_code_2,next_site_code_2
2309031129480953,517WH,024WH,2309031129480953,517WH,024WH
2309031129485805,530VH,551WH,2309031129485805,530VH,551WH
2309031129492146,532WH,021WW,2309031129492146,532WH,021WW
2309031129492386,532WH,571XF,null,null,null
2309031129504091,536WH,029WH,2309031129504091,536WH,029WH
2309031129518019,536WH,535WH,2309031129518019,536WH,535WH
2309031129524806,532WH,027WK,2309031129524806,532WH,027WK
2309031129527494,535WH,532WH,2309031129527494,535WH,532WH
2309031129529177,536WH,010WS,2309031129529177,536WH,010WS
2309031129529375,536WH,595WH,2309031129529375,536WH,595WH
2309031129544071,536WH,530VH,2309031129544071,536WH,530VH
2309031129556913,536WH,024WH,2309031129556913,536WH,024WH
