area_code,PRO_NAME,LEVEL_2_TYPE,inc_unit,LEVEL_1_TYPE,LEVEL_3_TYPE
595Y,常温水果项目,生鲜水果,,生鲜类,椰子
752Y,蔬菜项目,生鲜蔬菜,,生鲜类,冰草
752Y,肉类熟食项目,生鲜肉类,,生鲜类,肠
752Y,禽鱼项目,活体类,,生鲜类,观赏类
752Y,干货项目,饮料冲调,,副食干货类,咖啡/奶茶
755Y,蔬菜项目,生鲜蔬菜,,生鲜类,银耳
755Y,常温水果项目,生鲜水果,,生鲜类,其它水果
757Y,滋补品项目,中药材,,医药保健,金银花
757Y,海鲜水产项目,海鲜水产,,生鲜类,藻类
760Y,干货项目,饮料冲调,,副食干货类,咖啡/奶茶
769Y,海鲜水产项目,海鲜水产,,生鲜类,甲鱼
771Y,粮油副食项目,粮油调味,,副食干货类,豆类
851Y,蔬菜项目,生鲜蔬菜,,生鲜类,薄荷
851Y,常温水果项目,生鲜水果,,生鲜类,菠萝蜜
851Y,常温水果项目,生鲜水果,,生鲜类,黑老虎
871Y,茶叶项目,茶类,,副食干货类,茶叶
898Y,蔬菜项目,生鲜蔬菜,,生鲜类,苦瓜
898Y,桔橙项目,生鲜水果,,生鲜类,油甘
898Y,海鲜水产项目,生鲜蔬菜,,生鲜类,海带
931Y,蔬菜项目,生鲜蔬菜,,生鲜类,冬瓜
991Y,常温水果项目,生鲜水果,,生鲜类,香蕉
020Y,滋补品项目,保健滋补,,医药保健,阿胶
022Y,预制菜项目,熟食类,,副食干货类,卤味
022Y,蔬菜项目,生鲜蔬菜,,生鲜类,菊苣
024Y,滋补品项目,中药材,,医药保健,金银花
024Y,蔬菜项目,生鲜蔬菜,,生鲜类,韭菜
028Y,肉类熟食项目,生鲜肉类,,生鲜类,鸡肉
029Y,蔬菜项目,生鲜蔬菜,,生鲜类,莲藕/藕带
029Y,常温水果项目,生鲜水果,,生鲜类,红毛丹
371Y,蔬菜项目,生鲜蔬菜,,生鲜类,萝卜
371Y,海鲜水产项目,海鲜水产,,生鲜类,鲟鱼
371Y,常温水果项目,生鲜水果,,生鲜类,榴莲
431Y,肉类熟食项目,生鲜肉类,,生鲜类,狗肉
431Y,李子项目,生鲜水果,万元,生鲜类,李子
431Y,海鲜水产项目,海鲜水产,,生鲜类,海肠
431Y,常温水果项目,生鲜水果,,生鲜类,桑葚
471Y,常温水果项目,生鲜水果,,生鲜类,青梅
512Y,预制菜项目,熟食类,,副食干货类,腊味腊肉
513Y,参茸项目,生鲜蔬菜,,生鲜类,松茸
517Y,蔬菜项目,生鲜蔬菜,,生鲜类,芋头
531Y,常温水果项目,生鲜水果,,生鲜类,榴莲
531Y,茶叶项目,茶类,,副食干货类,铁观音
532Y,海鲜水产项目,干货,万元,副食干货类,海产干货
536Y,常温水果项目,生鲜水果,,生鲜类,槟榔
551Y,常温水果项目,生鲜水果,,生鲜类,释迦果
574Y,粮油副食项目,粮油调味,,副食干货类,豆类
577Y,蔬菜项目,生鲜蔬菜,,生鲜类,冬瓜
577Y,牛羊肉项目,生鲜肉类,,生鲜类,羊杂
577Y,常温水果项目,生鲜水果,,生鲜类,人参果
577Y,茶叶项目,茶类,,副食干货类,黑茶
579Y,蔬菜项目,生鲜蔬菜,,生鲜类,茄子豆角
591Y,常温水果项目,生鲜水果,,生鲜类,椰子
